#CANONICAL_CLASS_NAME "AUTHOR"
edu.uci.ics.jung.visualization.control.CrossoverScalingControl "Tom Nelson"
edu.uci.ics.jung.visualization.control.DefaultModalGraphMouse "Tom Nelson"
edu.uci.ics.jung.visualization.control.EditingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.EditingModalGraphMouse "UNKNOWN"
edu.uci.ics.jung.visualization.control.EditingPopupGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.GraphMouseAdapter "Tom Nelson"
edu.uci.ics.jung.visualization.control.GraphMouseListener "danyelf"
edu.uci.ics.jung.visualization.control.GraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.LabelEditingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.LayoutScalingControl "Tom Nelson"
edu.uci.ics.jung.visualization.control.LensMagnificationGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.LensTranslatingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.ModalGraphMouse "Tom Nelson"
edu.uci.ics.jung.visualization.control.ModalLensGraphMouse "Tom Nelson"
edu.uci.ics.jung.visualization.control.ModalSatelliteGraphMouse "Tom Nelson"
edu.uci.ics.jung.visualization.control.MouseListenerTranslator "danyelf"
edu.uci.ics.jung.visualization.control.PickingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.PluggableGraphMouse "Tom Nelson"
edu.uci.ics.jung.visualization.control.RotatingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.SatelliteAnimatedPickingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.SatelliteRotatingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.SatelliteScalingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.SatelliteShearingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.SatelliteTranslatingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.SatelliteVisualizationViewer "Tom Nelson"
edu.uci.ics.jung.visualization.control.ScalingControl "UNKNOWN"
edu.uci.ics.jung.visualization.control.ScalingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.ShearingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.TranslatingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.control.ViewScalingControl "Tom Nelson"
edu.uci.ics.jung.visualization.control.ViewTranslatingGraphMousePlugin "Tom Nelson"
edu.uci.ics.jung.visualization.decorators.AbstractEdgeShapeTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.decorators.AbstractVertexShapeTransformer "Joshua O"
edu.uci.ics.jung.visualization.decorators.ConstantDirectionalEdgeValueTransformer "Joshua O"
edu.uci.ics.jung.visualization.decorators.DefaultVertexIconTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.decorators.DirectionalEdgeArrowTransformer "Joshua O"
edu.uci.ics.jung.visualization.decorators.EdgeShape "Tom Nelson"
edu.uci.ics.jung.visualization.decorators.EllipseVertexShapeTransformer "Joshua O"
edu.uci.ics.jung.visualization.decorators.GradientEdgePaintTransformer "Joshua O"
edu.uci.ics.jung.visualization.decorators.InterpolatingVertexSizeTransformer "Joshua O"
edu.uci.ics.jung.visualization.decorators.NumberFormattingTransformer "UNKNOWN"
edu.uci.ics.jung.visualization.decorators.PickableEdgePaintTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.decorators.PickableVertexIconTransformer "UNKNOWN"
edu.uci.ics.jung.visualization.decorators.PickableVertexPaintTransformer "UNKNOWN"
edu.uci.ics.jung.visualization.decorators.SettableVertexShapeTransformer "Joshua O"
edu.uci.ics.jung.visualization.decorators.ToStringLabeller "danyelf"
edu.uci.ics.jung.visualization.decorators.VertexIconShapeTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.DefaultVisualizationModel "Tom Nelson"
edu.uci.ics.jung.visualization.FourPassImageShaper "Tom Nelson"
edu.uci.ics.jung.visualization.GraphZoomScrollPane "Tom Nelson"
edu.uci.ics.jung.visualization.jai.AbstractPerspectiveTransformSupport "Tom Nelson"
edu.uci.ics.jung.visualization.jai.HyperbolicImageLensSupport "Tom Nelson"
edu.uci.ics.jung.visualization.jai.PerspectiveImageLensSupport "Tom Nelson"
edu.uci.ics.jung.visualization.jai.PerspectiveLayoutTransformSupport "Tom Nelson"
edu.uci.ics.jung.visualization.jai.PerspectiveShapeTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.jai.PerspectiveTransformer "Tom Nelson"
edu.uci.ics.jung.visualization.jai.PerspectiveTransformSupport "Tom Nelson"
edu.uci.ics.jung.visualization.jai.PerspectiveViewTransformSupport "Tom Nelson"
edu.uci.ics.jung.visualization.jai.TransformingImageVertexIconRenderer "Tom Nelson"
edu.uci.ics.jung.visualization.Layer "UNKNOWN"
edu.uci.ics.jung.visualization.LayeredIcon "Tom Nelson"
edu.uci.ics.jung.visualization.layout.BoundingRectangleCollector "UNKNOWN"
edu.uci.ics.jung.visualization.layout.BoundingRectanglePaintable "UNKNOWN"
edu.uci.ics.jung.visualization.layout.CachingLayout "Tom Nelson"
edu.uci.ics.jung.visualization.layout.LayoutTransition "UNKNOWN"
edu.uci.ics.jung.visualization.layout.ObservableCachingLayout "Tom Nelson"
edu.uci.ics.jung.visualization.layout.PersistentLayout "Tom Nelson"
edu.uci.ics.jung.visualization.layout.PersistentLayoutImpl "Tom Nelson"
edu.uci.ics.jung.visualization.MultiLayerTransformer "UNKNOWN"
edu.uci.ics.jung.visualization.picking.AbstractPickedState "Tom Nelson"
edu.uci.ics.jung.visualization.picking.ClassicPickSupport "Tom Nelson"
edu.uci.ics.jung.visualization.picking.ClosestShapePickSupport "UNKNOWN"
edu.uci.ics.jung.visualization.picking.LayoutLensShapePickSupport "Tom Nelson"
edu.uci.ics.jung.visualization.picking.MultiPickedState "Tom Nelson"
edu.uci.ics.jung.visualization.picking.PickedInfo "danyelf"
edu.uci.ics.jung.visualization.picking.PickedState "Tom Nelson"
edu.uci.ics.jung.visualization.picking.RadiusPickSupport "Tom Nelson"
edu.uci.ics.jung.visualization.picking.ShapePickSupport "Tom Nelson"
