#CANONICAL_CLASS_NAME CANONICAL_CLASS_NAME
java.security.spec.InvalidKeySpecException java.security.NoSuchAlgorithmException
java.security.spec.InvalidKeySpecException java.security.KeyException
java.security.spec.DSAPublicKeySpec java.security.spec.DSAPrivateKeySpec
java.security.spec.DSAPublicKeySpec java.security.spec.DSAParameterSpec
java.security.spec.RSAPrivateCrtKeySpec java.security.interfaces.RSAPrivateCrtKey
java.security.spec.ECPrivateKeySpec java.security.spec.ECPublicKeySpec
java.security.spec.RSAMultiPrimePrivateCrtKeySpec java.security.interfaces.RSAMultiPrimePrivateCrtKey
java.security.spec.RSAMultiPrimePrivateCrtKeySpec java.security.spec.RSAPrivateCrtKeySpec
java.security.spec.RSAPrivateKeySpec java.security.interfaces.RSAPrivateKey
java.security.spec.RSAPrivateKeySpec java.security.interfaces.RSAKey
java.security.spec.RSAPrivateKeySpec java.security.spec.RSAPublicKeySpec
java.security.spec.ECFieldFp java.security.spec.ECField
java.security.AlgorithmParameterGeneratorSpi java.security.AlgorithmParameterGenerator
java.security.Permissions java.security.PermissionCollection
java.security.MessageDigestSpi java.security.DigestInputStream
java.security.MessageDigestSpi java.security.DigestOutputStream
java.security.MessageDigest java.security.MessageDigestSpi
java.security.AlgorithmParametersSpi java.security.AlgorithmParameters
java.security.InvalidAlgorithmParameterException java.lang.RuntimeException
java.security.InvalidAlgorithmParameterException java.lang.Exception
java.security.InvalidAlgorithmParameterException java.lang.Error
java.security.InvalidAlgorithmParameterException java.lang.VirtualMachineError
java.security.InvalidAlgorithmParameterException java.lang.InternalError
java.security.InvalidAlgorithmParameterException java.lang.UnsupportedOperationException
java.security.InvalidAlgorithmParameterException java.lang.SecurityException
java.security.InvalidAlgorithmParameterException java.lang.IllegalArgumentException
java.security.InvalidAlgorithmParameterException java.lang.IllegalStateException
java.security.InvalidAlgorithmParameterException java.lang.ReflectiveOperationException
java.security.InvalidAlgorithmParameterException java.io.IOException
java.security.InvalidAlgorithmParameterException java.security.DigestException
java.security.InvalidAlgorithmParameterException java.security.cert.CRLException
java.security.InvalidAlgorithmParameterException java.security.cert.CertificateParsingException
java.security.InvalidAlgorithmParameterException java.security.cert.CertificateException
java.security.InvalidAlgorithmParameterException java.security.cert.CertificateEncodingException
java.security.InvalidAlgorithmParameterException java.security.InvalidKeyException
java.security.InvalidAlgorithmParameterException java.security.KeyManagementException
java.security.InvalidAlgorithmParameterException java.security.SignatureException
java.security.InvalidAlgorithmParameterException java.security.ProviderException
java.security.InvalidAlgorithmParameterException java.security.GeneralSecurityException
java.security.InvalidAlgorithmParameterException java.security.NoSuchAlgorithmException
java.security.InvalidAlgorithmParameterException java.security.KeyException
java.security.InvalidAlgorithmParameterException java.security.spec.InvalidKeySpecException
java.security.KeyPairGenerator java.security.KeyPairGeneratorSpi
java.security.Signature java.security.SignatureSpi
java.security.KeyStoreException java.lang.RuntimeException
java.security.KeyStoreException java.lang.Exception
java.security.KeyStoreException java.lang.VirtualMachineError
java.security.KeyStoreException java.lang.InternalError
java.security.KeyStoreException java.lang.UnsupportedOperationException
java.security.KeyStoreException java.lang.SecurityException
java.security.KeyStoreException java.lang.IllegalArgumentException
java.security.KeyStoreException java.lang.IllegalStateException
java.security.KeyStoreException java.lang.ReflectiveOperationException
